program_id,name,therapeutic_area,phase,start_date,end_date,status,manager
PRG001,Program-1-Thera,Cardiovascular,Phase II,2022-01-06,2022-01-10,Discontinued,Dr. Brown
PRG002,Program-2-Med,Infectious Disease,Preclinical,2022-09-08,2023-02-03,On Hold,Dr. Smith
PRG003,Program-3-Thera,Immunology,Registration,2022-09-07,2024-11-06,On Hold,Dr. Williams
PRG004,Program-4-Bio,Respiratory,Phase II,2021-09-30,2023-12-24,On Hold,Dr. Williams
PRG005,Program-5-Bio,Endocrinology,Registration,2021-05-28,2023-07-13,Active,Dr. Smith
PRG006,Program-6-Thera,Endocrinology,Registration,2021-08-07,2022-05-17,On Hold,Dr. Smith
PRG007,Program-7-Pharma,Respiratory,Discovery,2021-10-06,2023-01-23,On Hold,Dr. Brown
PRG008,Program-8-Thera,Immunology,Phase II,2022-09-12,2024-10-05,Active,Dr. Williams
PRG009,Program-9-Bio,Immunology,Phase I,2021-01-19,2022-02-03,Active,Dr. Williams
PRG010,Program-10-Pharma,Cardiovascular,Post-marketing,2021-04-10,2022-02-05,On Hold,Dr. Jones
PRG011,Program-11-Med,Respiratory,Preclinical,2021-07-04,2023-09-09,Discontinued,Dr. Johnson
PRG012,Program-12-Med,Cardiovascular,Phase II,2021-09-22,2024-04-14,On Hold,Dr. Williams
PRG013,Program-13-Bio,Respiratory,Phase III,2020-12-31,2023-08-24,On Hold,Dr. Smith
PRG014,Program-14-Thera,Neurology,Preclinical,2020-04-05,2020-12-07,On Hold,Dr. Williams
PRG015,Program-15-Med,Cardiovascular,Registration,2020-12-03,2022-11-28,Active,Dr. Jones
PRG016,Program-16-Bio,Respiratory,Post-marketing,2022-05-26,2023-07-20,On Hold,Dr. Jones
PRG017,Program-17-Bio,Immunology,Phase I,2020-01-13,2021-02-09,Active,Dr. Williams
PRG018,Program-18-Pharma,Infectious Disease,Phase II,2020-07-16,2023-01-23,On Hold,Dr. Johnson
PRG019,Program-19-Med,Respiratory,Discovery,2022-10-01,2024-04-13,Active,Dr. Jones
PRG020,Program-20-Bio,Infectious Disease,Post-marketing,2022-01-20,2023-01-26,On Hold,Dr. Smith
